MQRCCF_ACTION_VALUE_ERROR;3091;0C13;RC3091;Action value not valid.;The value specified for Action is not valid. There is only one valid value.;Specify MQACT_FORCE_REMOVE as the value of the Action parameter.;;
MQRCCF_ALLOCATE_FAILED;4009;0FA9;RC4009;Allocation failed.;An attempt to allocate a conversation to a remote system failed. The error may be due to an entry in the channel definition that is not valid, or it might be that the listening program at the remote system is not running.;Ensure that the channel definition is correct, and start the listening program if necessary. If the error persists, consult your systems administrator.;;
MQRCCF_ALLOC_FAST_TIMER_ERROR;3166;0C5E;RC3166;Allocation fast retry timer value not valid.;The AllocRetryFastTimer value was not valid.;Specify a valid value.;;
MQRCCF_ALLOC_RETRY_ERROR;3164;0C5C;RC3164;Allocation retry count not valid.;The AllocRetryCount value was not valid.;Specify a valid count.;;
MQRCCF_ALLOC_SLOW_TIMER_ERROR;3165;0C5D;RC3165;Allocation slow retry timer value not valid.;The AllocRetrySlowTimer value was not valid.;Specify a valid timer value.;;
MQRCCF_ALREADY_JOINED;3157;0C55;RC3157;The identity already has an entry for this subscription.;A Join registration option was specified but the subscriber identity was already a member of the subscription's identity set.;None. The command completed, this reason code is a warning.;;
MQRCCF_ATTR_VALUE_ERROR;4005;0FA5;RC4005;Attribute value not valid or repeated.;One or more of the attribute values specified was not valid or was repeated. The error response message contains the failing attribute selectors (with parameter identifier MQIACF_PARAMETER_ID).;Specify the attribute values correctly.;;
MQRCCF_ATTR_VALUE_FIXED;3213;0C8D;RC3213;Parameter value cannot be changed.;The value for a parameter cannot be changed. The parameter in question may be returned in the message (with parameter identifier MQIACF_PARAMETER_ID).;To change the parameter, the object must be deleted and then created again with the new value.;;
MQRCCF_AUTH_VALUE_ERROR;3171;0C63;RC3171;Authorization value not valid.;A value for the AuthorizationList or AuthorityRemove or AuthorityAdd parameter was not valid.;Specify a valid value.;;
MQRCCF_AUTH_VALUE_MISSING;3172;0C64;RC3172;Authorization value required but missing.;A parameter specifying authorization values must be supplied.;Specify the required parameter.;;
MQRCCF_BATCH_INT_ERROR;4086;0FF6;RC4086;Batch interval not valid.;The batch interval specified was not valid.;Specify a valid batch interval value.;;
MQRCCF_BATCH_INT_WRONG_TYPE;4087;0FF7;RC4087;Batch interval parameter not allowed for this channel type.;The BatchInterval parameter is allowed only for sender and server channels.;Remove the parameter.;;
MQRCCF_BATCH_SIZE_ERROR;3037;0BDD;RC3037;Batch size not valid.;The batch size specified was not valid.;Specify a valid batch size value.;;
MQRCCF_BIND_FAILED;4024;0FB8;RC4024;Bind failed.;The bind to a remote system during session negotiation has failed.;Consult your systems administrator.;;
MQRCCF_BROKER_COMMAND_FAILED;3094;0C16;RC3094;The broker command failed to complete.;A broker command was issued but it failed to complete.;Diagnose the problem using the provided information and issue a corrected command.;;
MQRCCF_BROKER_DELETED;3070;0BFE;RC3070;Broker has been deleted.;When a broker is deleted using the dltmqbrk command, all broker queues created by the broker are deleted. Before this can be done the queues are emptied of all command messages; any that are found are placed on the dead-letter queue with this reason code.;Process the command messages that were placed on the dead-letter queue.;;
MQRCCF_CCSID_ERROR;3049;0BE9;RC3049;Coded character-set identifier error.;In a command message, one of the following occurred: The CodedCharSetId field in the message descriptor of the command does not match the coded character-set identifier of the queue manager at which the command is being processed, or The CodedCharSetId field in a string parameter structure within the message text of the command is not MQCCSI_DEFAULT, or the coded character-set identifier of the queue manager at which the command is being processed, as in the CodedCharSetId field in the message descriptor. The error response message contains the correct value.;This reason can also occur if a ping cannot be performed because the coded character-set identifiers are not compatible. In this case the correct value is not returned.;Construct the command with the correct coded character-set identifier, and specify this in the message descriptor when sending the command. For ping, use a suitable coded character-set identifier.;;
MQRCCF_CELL_DIR_NOT_AVAILABLE;4068;0FE4;RC4068;Cell directory is not available.;The Scope attribute of the queue is to be MQSCO_CELL, but no name service supporting a cell directory has been configured.;Configure the queue manager with a suitable name service.;;
MQRCCF_CFBF_FILTER_VAL_LEN_ERR;3266;0CC2;RC3266;Filter value length not valid.;The MQCFBF FilterValueLength field value was not valid.;Specify a valid length.;;
MQRCCF_CFBF_LENGTH_ERROR;3264;0CC0;RC3264;Structure length not valid.;The MQCFBF StrucLength field value was not valid.;Specify a valid structure length.;;
MQRCCF_CFBF_OPERATOR_ERROR;3267;0CC3;RC3267;Parameter count not valid.;The MQCFBF Operator field value was not valid.;Specify a valid operator value.;;
MQRCCF_CFBF_PARM_ID_ERROR;3265;0CC1;RC3265;Parameter identifier is not valid.;The MQCFBF Parameter field value was not valid.;Specify a valid parameter identifier.;;
MQRCCF_CFBS_DUPLICATE_PARM;3254;0CB6;RC3254;Duplicate parameter.;Two MQCFBS structures with the same parameter identifier were present.;Check for and remove duplicate parameters.;;
MQRCCF_CFBS_LENGTH_ERROR;3255;0CB7;RC3255;Structure length not valid.;The MQCFBS StrucLength field value was not valid.;Specify a valid structure length.;;
MQRCCF_CFBS_PARM_ID_ERROR;3256;0CB8;RC3256;Parameter identifier is not valid.;The MQCFBS Parameter field value was not valid.;Specify a valid parameter identifier.;;
MQRCCF_CFBS_STRING_LENGTH_ERR;3257;0CB9;RC3257;String length not valid.;The MQCFBS StringLength field value was not valid. The value was negative or greater than the maximum permitted length of the parameter specified in the Parameter field.;Specify a valid string length for the parameter.;;
MQRCCF_CFGR_LENGTH_ERROR;3258;0CBA;RC3258;Structure length not valid.;The MQCFGR StrucLength field value was not valid.;Specify a valid structure length.;;
MQRCCF_CFGR_PARM_COUNT_ERROR;3259;0CBB;RC3259;Parameter count not valid.;The MQCFGR ParameterCount field value was not valid. The value was negative or greater than the maximum permitted for the parameter identifier specified in the Parameter field.;Specify a valid count for the parameter.;;
MQRCCF_CFGR_PARM_ID_ERROR;3240;0CA8;RC3240;Parameter identifier is not valid.;The MQCFGR Parameter field value was not valid.;Specify a valid parameter identifier.;;
MQRCCF_CFH_COMMAND_ERROR;3007;0BBF;RC3007;Command identifier not valid.;The MQCFH Command field value was not valid.;Specify a valid command identifier.;;
MQRCCF_CFH_CONTROL_ERROR;3005;0BBD;RC3005;Control option not valid.;The MQCFH Control field value was not valid.;Specify a valid control option.;;
